year,state,index,final co2 (kg),generation (mwh)
2001,AK,621.6168559,4192038618,6743766
2001,AL,623.7594835,78185202966,125345113
2001,AR,596.1427445,28133189858,47192036
2001,AZ,531.014382,47744178539,89911272
2001,CA,312.7953976,62119937297,198596072
2001,CO,919.0152354,43079760934,46876003
2001,CT,361.2647459,11015195119,30490645
2001,DE,880.0288776,5990959390,6807685
2001,FL,662.7588997,1.27E+11,190945343
2001,GA,624.7144512,73914207316,118316788.1
2001,HI,779.4505403,8287969304,10633092
2001,IA,926.3105439,37662408366,40658512
2001,ID,41.22408584,385319139.4,9346942
2001,IL,530.7954132,95144696715,179249282
2001,IN,1003.98569,1.23E+11,122569670
2001,KS,818.1976415,36613135162,44748522
2001,KY,977.3635543,93257709111,95417625
2001,LA,583.8309055,51315454894,87894379.03
2001,MA,616.6244899,23726742887,38478431
2001,MD,638.7880595,31340438239,49062342
2001,ME,317.8688169,6219046504,19564821
2001,MI,664.4042835,74310703706,111845612
2001,MN,744.2897254,36115336321,48523223
2001,MO,884.2899748,70340732865,79544872.01
2001,MS,454.5223261,24292603865,53446448
2001,MT,797.8866978,19334779032,24232487
2001,NC,590.7398731,69409484109,117495851
2001,ND,1111.411905,33711425927,30332072
2001,NE,718.8167534,21913281836,30485213
2001,NH,307.3867661,4633739922,15074624
2001,NJ,276.6544338,16439155039,59421260
2001,NM,975.6998692,32794875678,33611643
2001,NV,673.6931492,22822006218,33875966
2001,NY,409.5422587,58939092325,143914556
2001,OH,833.3459808,1.19E+11,142261809
2001,OK,806.3369415,44549674952,55249453
2001,OR,208.2155349,9380506705,45051906
2001,PA,533.2703838,1.05E+11,196576590
2001,RI,451.1005211,3384107390,7501892
2001,SC,405.1928275,36126583251,89158990
2001,SD,566.832747,4194983485,7400743
2001,TN,602.5630279,57979805210,96221976
2001,TX,635.1478981,2.37E+11,372580005
2001,UT,948.9765983,34024369712,35853750
2001,VA,577.7600695,42814764357,74104748
2001,VT,8.743735521,47921039.31,5480614
2001,WA,173.6335618,14420036378,83048670
2001,WI,805.8077058,47352027936,58763434
2001,WV,923.4031252,75568287618,81836725
2001,WY,1068.688317,47852590491,44776938
2002,AK,565.8667312,3829402379,6767322
2002,AL,608.8982795,80935170323,132920675
2002,AR,561.3927364,26728829424,47611641
2002,AZ,508.8592696,47899769281,94131663
2002,CA,256.8376244,47312068030,184210036
2002,CO,920.787902,41988285596,45600388
2002,CT,320.3419249,10030296164,31311219
2002,DE,979.1456818,5877312164,6002490
2002,FL,632.369588,1.29E+11,203352778
2002,GA,629.7611591,79672479164,126512215
2002,HI,780.9584866,9108375839,11663073
2002,IA,899.6404289,38260255423,42528386
2002,ID,43.6637949,427334591.5,9786932
2002,IL,498.5021198,93745543961,188054454
2002,IN,972.38672,1.22E+11,125608144
2002,KS,872.2770365,41161396961,47188445
2002,KY,966.9839403,89065668754,92106668
2002,LA,534.9535171,50805050675,94970963
2002,MA,570.1636248,23962736475,42027824
2002,MD,686.4800749,33142629885,48279085
2002,ME,304.2009616,6855179621,22535036
2002,MI,626.5273676,73860739976,117889088
2002,MN,739.910068,39050946931,52777964
2002,MO,857.3500117,69584409687,81162196
2002,MS,541.2995316,23215693304,42888811
2002,MT,672.8050401,17138837788,25473706
2002,NC,572.5438056,71263397862,124468027
2002,ND,1080.566851,33828556499,31306306
2002,NE,675.820731,21368430349,31618489
2002,NH,302.7781739,4830242916,15953075
2002,NJ,319.9945455,19701867690,61569386
2002,NM,989.4083907,30336949189,30661706
2002,NV,710.3869549,22795562952,32088938
2002,NY,395.1085974,55153875267,139591686
2002,OH,845.0752974,1.24E+11,147068847
2002,OK,805.0268337,47644241208,59183420
2002,OR,147.2030563,6933170917,47099368
2002,PA,546.9805883,1.12E+11,204322877
2002,RI,442.8084027,3124794395,7056764
2002,SC,401.4212787,38762643241,96563499
2002,SD,467.3394574,3608775661,7721958
2002,TN,626.9830509,60262014478,96114264
2002,TX,634.5438381,2.45E+11,385628540
2002,UT,956.4885161,35015135423,36608004
2002,VA,564.5324812,42343126826,75005652
2002,VT,2.627367846,14335420.8,5456191
2002,WA,113.2744899,11640658388,102765048
2002,WI,778.4256827,45484531258,58431437.03
2002,WV,910.4034845,86271429220,94761752
2002,WY,1036.811269,45395577691,43783839
2003,AK,548.1712638,3474714020,6338738
2003,AL,607.3557484,83503657651,137487227
2003,AR,555.1157219,27978444677,50401103
2003,AZ,531.1022673,50134046470,94396220
2003,CA,241.8069661,46746170257,193320196.7
2003,CO,921.1280416,42940031557,46616789
2003,CT,326.1811826,9637040658,29545054.01
2003,DE,829.8619174,6134575804,7392285
2003,FL,623.9173113,1.33E+11,212610013
2003,GA,625.2144747,77574633212,124076835
2003,HI,745.022696,8177647749,10976374
2003,IA,900.8069069,37938556645,42116192
2003,ID,61.65829242,642660374.1,10422935
2003,IL,501.981134,94902173315,189055259
2003,IN,967.9515413,1.21E+11,124888212
2003,KS,883.886674,41160446609,46567561
2003,KY,949.3315018,87071563232,91718818
2003,LA,546.3967637,51844878788,94885040.02
2003,MA,554.2087599,26815403594,48385023
2003,MD,629.720881,32899287579,52244238
2003,ME,315.1127759,5978204253,18971634
2003,MI,658.6665592,73340586874,111347063
2003,MN,751.0357397,41345262496,55050992
2003,MO,841.875884,73432698906,87225089
2003,MS,597.9771478,24007752775,40148278.01
2003,MT,714.346,18764960057,26268727
2003,NC,547.2697732,69821948427,127582322
2003,ND,1090.429942,34154585118,31322127
2003,NE,736.1513232,22420214394,30455986
2003,NH,368.752308,7963984158,21597110
2003,NJ,331.5166552,19028841188,57399352
2003,NM,904.9719386,29624848262,32735654
2003,NV,677.3825873,22485639120,33194888
2003,NY,402.506243,55402296013,137643321
2003,OH,864.4280256,1.27E+11,146638125
2003,OK,809.6595913,49087117068,60626858
2003,OR,187.1899721,9165970569,48966141
2003,PA,565.1569597,1.17E+11,206349515
2003,RI,432.3914337,2430534081,5621143
2003,SC,403.4429842,37831927437,93772674
2003,SD,498.805808,3962432034,7943837
2003,TN,602.0062223,55518093818,92221794
2003,TX,643.3084342,2.44E+11,379199690
2003,UT,952.4762237,36216636849,38023665
2003,VA,564.83032,42537043233,75309419
2003,VT,3.89762504,23494731.74,6027961
2003,WA,150.4141433,15055657199,100094691
2003,WI,789.142807,47445180814,60122427.01
2003,WV,904.4382581,85660748400,94711549
2003,WY,1029.470398,44912296360,43626603
2004,AK,535.048356,3492109158,6526716.92
2004,AL,586.5800892,80569573755,137354770.9
2004,AR,546.4775217,28377283779,51927632.25
2004,AZ,515.2751031,53879299566,104564143
2004,CA,243.0475907,47479173069,195349285
2004,CO,891.1715693,42659930673,47869492.41
2004,CT,309.9745536,10115525989,32633407.72
2004,DE,735.97032,5781453546,7855552.58
2004,FL,594.3026864,1.30E+11,218117927.8
2004,GA,624.7192754,79222347286,126812714.8
2004,HI,736.9625786,8409039730,11410402.61
2004,IA,858.555259,37130960099,43248188.99
2004,ID,62.46734117,678585144.7,10863038.7
2004,IL,515.0528379,98868398559,191957778.5
2004,IN,973.7640868,1.24E+11,127770395.7
2004,KS,848.1966782,39680895773,46782658.78
2004,KY,926.2283516,87556317140,94529947.17
2004,LA,512.8974583,50352327578,98172308.65
2004,MA,541.2144053,25707945404,47500482.53
2004,MD,606.3643559,31562944240,52052769.81
2004,ME,272.7246986,5208737781,19098885.46
2004,MI,622.9296864,73809237569,118487269.4
2004,MN,740.9570937,38799571080,52364126.63
2004,MO,837.5541175,73397304877,87632910.33
2004,MS,594.9455376,25976876865,43662613.17
2004,MT,700.7467529,18772142023,26788767.76
2004,NC,549.7461925,69449412722,126329956.7
2004,ND,1078.981758,32300512313,29936106.04
2004,NE,677.3400774,21680781302,32008708.81
2004,NH,351.0764694,8382226857,23875786.58
2004,NJ,334.991995,18720137099,55882341.61
2004,NM,889.3417628,29295238372,32940360.61
2004,NV,675.3778739,25439752193,37667435.04
2004,NY,401.926071,55451647484,137964793.8
2004,OH,807.4704737,1.20E+11,148345905.3
2004,OK,767.374637,46602324424,60729560.47
2004,OR,177.1976235,9104640363,51381278.05
2004,PA,549.921485,1.18E+11,214658500.8
2004,RI,416.0696094,2055142434,4939419.72
2004,SC,414.1179485,40558682496,97939929.06
2004,SD,552.2546985,4147550979,7510214.02
2004,TN,573.892056,56008732304,97594541.89
2004,TX,604.1244352,2.36E+11,390299132.3
2004,UT,957.84652,36601209632,38211977.46
2004,VA,514.194131,40569937479,78900039.95
2004,VT,3.771957787,20634037.95,5470378.81
2004,WA,142.676842,14576587000,102165052.1
2004,WI,781.2519436,47222721698,60444933.4
2004,WV,903.5881959,81096644569,89749561.73
2004,WY,1031.443244,46216500937,44807604.48
2005,AK,536.961208,3531410515,6576658.54
2005,AL,608.3798765,83925140673,137948581
2005,AR,548.9596858,26237258578,47794508.88
2005,AZ,524.3893462,53214325203,101478654.3
2005,CA,214.4918411,43075864381,200827519.4
2005,CO,868.4204202,43088150541,49616694.33
2005,CT,336.25444,11281251320,33549746.79
2005,DE,741.2450753,6031191041,8136568.11
2005,FL,596.5414657,1.31E+11,220256411.8
2005,GA,637.61173,87141051013,136667891.9
2005,HI,732.0346602,8435092921,11522805.38
2005,IA,852.4518822,37641001633,44156159.92
2005,ID,59.91765919,648607696.1,10824983.9
2005,IL,504.2286269,97880934601,194120145.9
2005,IN,969.5465182,1.26E+11,130371572.5
2005,KS,858.3632622,39366853221,45862695.85
2005,KY,929.1149963,90888276602,97822419.14
2005,LA,516.3804845,47825548425,92616878.17
2005,MA,551.7110986,26214797417,47515443.29
2005,MD,616.3033204,32455518955,52661600.03
2005,ME,258.1848999,4865230456,18843977.54
2005,MI,616.4225499,74969169493,121619771.2
2005,MN,734.4978443,38942337462,53018994.9
2005,MO,827.6323683,75172383481,90828230.46
2005,MS,561.220306,25292769934,45067453.3
2005,MT,710.555219,19852044343,27938777.75
2005,NC,554.4148167,71934533890,129748577.6
2005,ND,1051.5812,33579738041,31932615.43
2005,NE,718.6835885,22613187661,31464733.61
2005,NH,347.6029439,8505848619,24470013.18
2005,NJ,322.9367964,19553688352,60549582.98
2005,NM,875.2011403,30750753942,35135642
2005,NV,657.1649699,26427069017,40213751.84
2005,NY,385.9724002,56694489531,146887418.6
2005,OH,809.8431131,1.27E+11,156976322.8
2005,OK,731.1789514,50164599131,68607827.17
2005,OR,189.1934002,9331964939,49325002.52
2005,PA,556.9542863,1.21E+11,218091125.1
2005,RI,441.9470711,2675235589,6053294.08
2005,SC,405.5374839,41573539254,102514664.9
2005,SD,535.1763608,3489761417,6520768.99
2005,TN,575.6863857,55909029844,97117165.23
2005,TX,603.0650829,2.39E+11,396668722.2
2005,UT,954.7492746,36438131041,38165130.9
2005,VA,520.6870247,41104619197,78943044.96
2005,VT,2.429856635,13890894.14,5716754.62
2005,WA,145.7942665,14866036357,101965850.3
2005,WI,783.5541808,48442973672,61824663.64
2005,WV,875.1849736,81940318044,93626285.32
2005,WY,1016.311002,46310555388,45567306.96
2006,AK,560.1687226,3738676302,6674196.81
2006,AL,600.7076449,84636968728,140895441.3
2006,AR,546.0110295,28484687216,52168702.97
2006,AZ,537.0785261,56067084056,104392712.3
2006,CA,220.0617723,47817511272,217291312.2
2006,CO,858.0891965,43503708878,50698352.87
2006,CT,307.0291824,10648305106,34681736.19
2006,DE,690.4818586,4959164554,7182179.36
2006,FL,575.8930948,1.29E+11,223751621
2006,GA,639.1705838,88212065153,138010207.9
2006,HI,729.7837214,8435696821,11559173.73
2006,IA,815.9076032,37110302769,45483462.37
2006,ID,41.15522481,550907348.7,13386085.27
2006,IL,503.9236589,96968496779,192426958.1
2006,IN,960.4617073,1.25E+11,130489787.7
2006,KS,797.4495339,36302882287,45523736.29
2006,KY,939.2661538,92791995203,98792014.2
2006,LA,500.0827725,45468440522,90921829.39
2006,MA,501.6940779,22876133883,45597775.4
2006,MD,603.8076968,29560540773,48956879.7
2006,ME,212.8455668,3579247813,16816172.72
2006,MI,635.9041068,71575292268,112556738.5
2006,MN,709.6077578,37777948162,53237789.11
2006,MO,819.4113164,75128826943,91686342.91
2006,MS,562.6418014,26010281989,46228847.42
2006,MT,703.6553043,19873714179,28243536.37
2006,NC,556.4337872,69673736699,125214784.4
2006,ND,1063.202837,32832912307,30881136.84
2006,NE,700.3171935,22179023724,31669968.88
2006,NH,321.2940574,7088933959,22063694.6
2006,NJ,298.8316702,18139123809,60700138.64
2006,NM,833.5693548,31063482639,37265624.58
2006,NV,563.8240589,17963446807,31860021.8
2006,NY,340.5068059,48442347913,142265432.2
2006,OH,802.498204,1.25E+11,155434075.2
2006,OK,709.9199222,50130910288,70614880.24
2006,OR,139.2672817,7428613620,53340695.15
2006,PA,550.2771351,1.20E+11,218811594.7
2006,RI,404.7223692,2415271615,5967724.54
2006,SC,418.0087361,41494726422,99267605.77
2006,SD,535.4316783,3818828829,7132242.98
2006,TN,611.901372,57464331921,93911101.61
2006,TX,592.2812694,2.37E+11,400582877.7
2006,UT,930.1515619,38381145185,41263323.91
2006,VA,496.3867811,36270752127,73069536.72
2006,VT,1.476818351,10462288.73,7084343.67
2006,WA,92.67829856,10028084339,108203155.4
2006,WI,743.202415,45810880534,61639843.48
2006,WV,863.3206458,80993120679,93815804.21
2006,WY,1008.186357,45772033457,45400369.83
2007,AK,548.0321706,3738342100,6821391.7
2007,AL,604.3408062,86920084488,143826270.9
2007,AR,542.2981264,29607436255,54596235.56
2007,AZ,534.1970072,60546987260,113342056.3
2007,CA,252.1980167,53315005216,211401365.9
2007,CO,820.1056179,44209837201,53907492.2
2007,CT,299.7462179,9942944514,33171209.24
2007,DE,743.5299607,6345406088,8534163.28
2007,FL,574.5700025,1.30E+11,225416060.3
2007,GA,642.5111481,93263807477,145155158.4
2007,HI,715.6891732,8254293468,11533349.64
2007,IA,819.9305805,40823701615,49789217.02
2007,ID,62.33492699,715859950.4,11484090.62
2007,IL,502.7508021,1.01E+11,200260681.3
2007,IN,954.1949181,1.25E+11,130637998.6
2007,KS,780.1052647,39100588812,50122195.79
2007,KY,949.7623249,92340945491,97225319.5
2007,LA,497.0182384,46013117882,92578328.77
2007,MA,521.4287892,24546768726,47075975.16
2007,MD,608.2110964,30530934343,50197923.92
2007,ME,217.5932547,3509467494,16128567.49
2007,MI,632.45621,75458310098,119309936.3
2007,MN,695.1648535,37870945125,54477646.47
2007,MO,808.7507033,73720118528,91153081.2
2007,MS,562.5819302,28153673451,50043685.98
2007,MT,736.2425058,21300594961,28931493.08
2007,NC,562.0311812,73128856116,130115300.7
2007,ND,1013.12598,31633952047,31224105.08
2007,NE,656.2085337,21289175829,32442698.83
2007,NH,295.5289258,6879077413,23277171.24
2007,NJ,307.3493716,19261967774,62671245.01
2007,NM,810.2507732,29157143781,35985332.87
2007,NV,538.5780159,17617397461,32710947.98
2007,NY,343.6211587,50127003630,145878687.5
2007,OH,821.6663464,1.27E+11,155155545.4
2007,OK,685.3478179,49906407943,72819095.12
2007,OR,195.5263932,10769162399,55077793.95
2007,PA,545.0418126,1.23E+11,226088340.3
2007,RI,411.3988909,2900298003,7049844
2007,SC,412.0625465,42608149807,103402141.7
2007,SD,513.4611334,3150907902,6136604.5
2007,TN,614.822618,58477875006,95113408.8
2007,TX,589.3337684,2.39E+11,405492295.5
2007,UT,884.5936162,40136289975,45372574.75
2007,VA,514.2535774,40297171152,78360507.19
2007,VT,1.767714591,10294430.1,5823581.56
2007,WA,115.4083112,12347560210,106990216.6
2007,WI,727.033166,46087090233,63390629.74
2007,WV,893.2165815,83902610625,93933109.13
2007,WY,1012.032481,46182570487,45633486.44
2008,AK,549.4460736,3722406149,6774834.38
2008,AL,564.0515766,82278144387,145869895.2
2008,AR,533.0907734,29346928506,55050527.92
2008,AZ,506.5850144,60516618672,119459946.4
2008,CA,255.0773681,53221604349,208648868.9
2008,CO,793.5702218,42409657296,53441593.61
2008,CT,296.961041,9030428666,30409472.69
2008,DE,720.3481131,5419782960,7523838.63
2008,FL,555.1283599,1.22E+11,219636818.3
2008,GA,640.9225483,87276599562,136173395.4
2008,HI,715.795658,8143167051,11376385.09
2008,IA,797.4256547,42332765417,53086786.42
2008,ID,62.40978069,747079584.4,11970552.95
2008,IL,509.4348665,1.02E+11,199475177.6
2008,IN,946.2550814,1.23E+11,129510294
2008,KS,790.5552646,36863846089,46630321.42
2008,KY,939.8634428,91978175952,97863340.31
2008,LA,501.2364436,46340883799,92453141.41
2008,MA,493.6916521,20984599911,42505478.51
2008,MD,588.2038077,27857892846,47360952.92
2008,ME,209.5163419,3581664990,17094919.46
2008,MI,634.8913305,73006030833,114989805.9
2008,MN,671.1206826,36752823493,54763359.92
2008,MO,793.0357237,72189086703,91028795.48
2008,MS,559.1266508,26953097768,48205711.05
2008,MT,695.5168402,20613127899,29637137.03
2008,NC,570.5192572,71451297144,125239062.9
2008,ND,977.5920223,32001063469,32734579.19
2008,NE,693.9081903,22464252246,32373522.26
2008,NH,287.338168,6573432841,22876991.55
2008,NJ,290.6114026,18504619768,63674789.1
2008,NM,807.2281047,29875380536,37009836.95
2008,NV,509.5855157,17943861800,35212660.58
2008,NY,307.3947673,43134279347,140322100.2
2008,OH,818.0074369,1.25E+11,153412251.1
2008,OK,690.5963719,52712467335,76328908.58
2008,OR,190.3921488,11179529510,58718437.59
2008,PA,533.8133861,1.19E+11,222351099.4
2008,RI,409.5968958,3025801136,7387265.79
2008,SC,413.4245097,41746782130,100978004.8
2008,SD,568.0326898,4023188983,7082671.57
2008,TN,606.5627673,54992989775,90663312.58
2008,TX,596.9659807,2.42E+11,404787781
2008,UT,852.5740744,39711845494,46578762.7
2008,VA,490.0198042,35613919730,72678531.41
2008,VT,1.110861153,7576312.985,6820215.98
2008,WA,120.5143814,13356422230,110828451.1
2008,WI,729.6449813,46317538752,63479555.04
2008,WV,893.9209176,81456842163,91123096.64
2008,WY,1006.320461,46794352609,46500448.36
2009,AK,540.6870334,3623770699,6702159.43
2009,AL,478.9921561,68618287485,143255555.7
2009,AR,504.0077579,28959146237,57457739.06
2009,AZ,491.9571223,55085314328,111971779.3
2009,CA,239.8340602,49259395796,205389492.1
2009,CO,784.4863036,39668296466,50565951.61
2009,CT,240.2721222,7497985202,31206222.07
2009,DE,674.3285758,3264804215,4841562.9
2009,FL,529.5736248,1.15E+11,217952308.4
2009,GA,594.1506253,76466220905,128698376.5
2009,HI,695.746656,7660541467,11010532.93
2009,IA,746.6220753,38719868004,51860063.19
2009,ID,55.27489577,724109528.6,13100151.86
2009,IL,487.3059283,94471250616,193864357.3
2009,IN,933.796454,1.09E+11,116670279.9
2009,KS,759.2044309,35437618743,46677307.59
2009,KY,927.4521425,84055383412,90630426.69
2009,LA,492.0710964,44775357998,90993676.17
2009,MA,474.3103335,18482285340,38966651.23
2009,MD,562.0369333,24603072361,43774832.05
2009,ME,213.732647,3494496441,16349848.7
2009,MI,687.1779394,69544197749,101202605.3
2009,MN,625.848733,32851957110,52491848.87
2009,MO,812.3778625,71777054376,88354271.69
2009,MS,503.2164762,24507389259,48701484.19
2009,MT,656.8800044,17547061708,26712735.34
2009,NC,523.926503,62036776382,118407402.6
2009,ND,928.904393,31765248188,34196466.75
2009,NE,732.6483189,24911429182,34001892.23
